vehicle	group	manufacturer	model	division	powertrain	status	thumbnail	date
5071	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5072	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5073	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5074	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5075	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5076	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5077	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5078	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5079	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5080	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5081	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5082	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5083	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5084	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5085	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5086	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5087	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5088	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5089	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5090	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5091	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5092	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5093	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5094	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5095	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5096	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5097	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5098	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5099	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5100	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5101	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5102	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5103	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5104	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5105	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5106	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
5107	5000-5371	Bombardier	T1	TTC 2 Subway	ADTranz 1507A	Active		9 July 2018
